YB,F8,u_F8,e_F8,F12,u_F12,e_F12,F24,u_F24,e_F24,F70,u_F70,e_F70,F160,u_F160,e_F160,F250,u_F250,e_F250,F350,u_F350,e_F350,F500,u_F500,e_F500,F870,u_F870,e_F870,F1100,u_F1100,e_F1100,Multiple Sources,No Obvious Source 8,No Obvious Source 12,No Obvious Source 24,No Obvious Source 70,No Obvious Source 160,No Obvious Source 250,No Obvious Source 350,No Obvious Source 500,No Obvious Source 870,No Obvious Source 1100,Poor Confidence 8,Poor Confidence 12,Poor Confidence 24,Poor Confidence 70,Poor Confidence 160,Poor Confidence 250,Poor Confidence 350,Poor Confidence 500,Poor Confidence 870,Poor Confidence 1100,Very Circular,RMS,WISE Q,"WISE C,G,K",CORNISH,No Association
57,0.424726,0.1478950521,0.3482128527,0.499388,0.1922628739,0.3849969841,,,,23.131814,2.066864835,0.0893516105,28.48,1.701,0.05972612272487597,36.905,1.841,0.04988483839315413,12.089,0.638,0.052775253,2.771,0.2,0.07217611,,,,0.286,0.135,0.47202796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2.822874,0.2917660395,0.1033577976,0.958078,0.3069424865,0.3203731706,,,,93.678278,8.318538209,0.08879900855,106.304,3.818,0.03591586467302542,87.157,3.748,0.043002855841067465,30.444,1.069,0.03511365,10.299,0.495,0.04806292,1.19,,,0.705,0.188,0.26666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,0.319866,0.4642557406,1.451406966,0.09643,0.08416373714,0.8727961956,0.213344,0.19537596265638402,0.915779036,6.196506,4.280054744,0.6907206648,47.909,1.566,0.03268696872698681,78.55,1.579,0.020101845909424605,35.344,1.09,0.030839747,14.495,0.305,0.02104174,3.16,,,2.431,0.335,0.13780338,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0.435796,0.07389524056,0.1695638339,0.075804,0.03086827951,0.4072117502,0.574304,0.135765035733456,0.2363992515,23.04412,4.308633931,0.1869732466,53.063,3.03,0.05710193489606261,51.872,3.426,0.06604719537044292,29.078,2.464,0.08473761,12.362,1.472,0.119074576,2.02,,,3.59,0.443,0.12339833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,4.078868,0.1875010077,0.04596888344,0.945084,0.3102547641,0.328282739,,,,324.409328,17.38230168,0.05358138678,385.505,14.125,0.03664025109920754,260.827,7.442,0.02853232185418673,87.324,2.413,0.027632726,23.704,1.076,0.04539318,4.5,,,6.128,0.553,0.090241514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0.092868,0.04277547568,0.4606051135,0.034688,0.01219581772,0.3515860737,0.195202,0.049820508530799994,0.2552254,3.402632,0.7090536628,0.2083838813,7.302,0.861,0.11791290077109169,24.544,2.442,0.09949478130141635,16.462,1.126,0.06839996,8.888,0.434,0.048829883,,,,0.46,0.17,0.36956522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,1.615458,0.1648236111,0.102029029,0.264952,0.08572733561,0.3235579864,2.876224,0.3915558906361024,0.1361353951,51.656328,6.639686334,0.1285357785,72.657,2.172,0.029893884021298008,98.135,6.864,0.06994446266467022,40.801,1.367,0.03350408,12.911,0.549,0.042521883,1.66,,,1.075,0.212,0.1972093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,0.290554,0.1181068898,0.406488604,0.087092,0.05399448555,0.6199706695,0.625282,0.1945730261933262,0.3111764391,17.7356125,3.32673235,0.1875735811,27.258,0.794,0.0291290641119636,25.846,0.661,0.025574557507987327,8.949,0.421,0.047044363,3.465,0.376,0.108513705,0.55,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,0.310696,0.04872285122,0.1568184052,0.078656,0.01744997793,0.221851835,0.371072,0.060873736714752005,0.164048316,10.685206,2.13514217,0.1998222748,17.409,0.621,0.03567120408373648,26.587,1.389,0.052243579876410776,12.899,0.687,0.05325994,5.165,0.376,0.07279768,0.8,,,0.318,0.119,0.37421384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,0.845852,0.09730979943,0.1150435294,0.297486,0.1216694827,0.4089922979,4.835466,1.092788050257866,0.2259943613,49.508562,13.78509128,0.278438531,69.609,3.449,0.04954818890868113,68.183,3.941,0.057800331237129646,28.735,1.044,0.036332,12.311,0.903,0.07334904,2.7,0.54,0.2,7.477,0.613,0.08198475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1.486796,1.200887099,0.8077013247,0.331098,0.2943698534,0.889071675,1.831626,1.3026797249563997,0.7112149123,53.25041,22.5743743,0.4239286476,74.751,2.47,0.03304303659630278,55.848,3.383,0.06057513065827198,16.54,1.725,0.104292616,,,,1.73,,,4.31,0.462,0.10719258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,0.349188,0.09179692461,0.2628868249,0.07064,0.05165713068,0.7312730844,0.544072,0.1887143632020832,0.3468554956,27.787932,7.603369914,0.2736212941,63.166,2.299,0.03639616288502568,88.261,5.73,0.06492108653962098,29.357,1.781,0.060666963,10.009,0.537,0.053651713,1.66,,,0.824,0.215,0.26092234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,0.185186,0.050800456,0.2743212554,0.026406,0.008455535466,0.3202126587,0.314392,0.075218280812532,0.2392499835,10.327622,2.006143374,0.1942502712,42.716,5.245,0.12278771152633865,54.611,4.117,0.07538774428222934,30.632,1.385,0.045214154,10.424,0.863,0.08278972,0.91,,,0.385,0.151,0.39220777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,0.814094,0.08376849698,0.1028978189,0.179754,0.0294854766,0.1640323809,0.638416,0.1526965085709728,0.2391802658,10.290016,1.187337903,0.1153873719,7.4,1.327,0.1793243272884472,13.002,7.133,0.5486078985543127,4.631,7.272,1.5702871,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,5.988576,0.883134441,0.1474698561,,,,,,,581.493314,85.31017677,0.1467087836,620.337,30.302,0.04884764256489032,360.384,11.545,0.03203527369776112,140.207,,,44.617,1.683,0.037721045,6.16,,,4.978,0.446,0.089594215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,0.801334,0.144807928,0.1807085785,0.2139,0.08803124785,0.4115532859,0.361974,0.1083051810059046,0.2992070729,9.17643,2.85909773,0.3115697205,15.93,0.675,0.042372882104264216,32.293,2.954,0.0914749325298146,18.677,1.003,0.053702414,10.429,0.328,0.031450763,1.675,0.335,0.20000002,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,0.098112,0.01708328774,0.1741202681,0.02974,0.008771989513,0.2949559352,0.072142,0.017567163117679,0.2435081245,3.600846,0.3657586126,0.1015757443,8.198,0.247,0.03012929908762213,7.361,0.605,0.082189922439001,2.421,0.204,0.0842627,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,0.11926,0.02545700788,0.213458057,0.022734,0.005297898639,0.2330385607,0.06681,0.012106095571775999,0.1812018496,3.412634,0.409521243,0.1200015129,5.38,0.254,0.047211897417515185,9.434,0.894,0.09476362028843725,3.877,0.586,0.1511478,1.978,0.35,0.1769464,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0.183972,0.07352495747,0.3996529769,0.067444,0.01897300398,0.2813149276,0.281012,0.0686810444721932,0.2444060911,5.807362,1.288440733,0.2218633405,7.979,0.558,0.06993357916197422,10.064,0.829,0.0823728136114172,3.206,0.314,0.09794136,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
